SeniorCitizen,tenure,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaymentMethod,MonthlyCharges,TotalCharges,gender_Female,gender_Male,Partner_No,Partner_Yes,Dependents_No,Dependents_Yes,PhoneService_Yes,PhoneService_No,PaperlessBilling_Yes,PaperlessBilling_No
0.0,0.5694444444444444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6111944027986007,0.7636017735372826,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1.0,0.027777777777777776,0.0,0.5,0.5,0.0,0.0,0.5,0.0,0.0,0.5,0.3333333333333333,0.7676161919040481,0.32358730129514257,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0
0.0,0.027777777777777776,0.0,0.5,0.5,0.0,0.5,0.5,0.5,0.5,0.5,0.6666666666666666,0.5162418790604698,0.2841835585371539,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0
0.0,0.8888888888888888,0.5,0.0,0.5,0.5,0.0,0.0,0.0,0.0,1.0,0.3333333333333333,0.67816091954023,0.8861521457860907,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
0.0,0.06944444444444445,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.5,0.6666666666666666,0.5132433783108447,0.3945798717513709,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
0.0,0.5694444444444444,0.5,0.5,0.5,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.7931034482758621,0.804315382370894,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
0.0,0.013888888888888888,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0.00749625187406297,0.15448486895188157,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0
0.0,0.15277777777777776,0.5,0.5,0.5,0.0,0.5,0.5,0.0,0.0,0.5,0.6666666666666666,0.7526236881559222,0.5529288057086059,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0
0.0,0.15277777777777776,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.0,0.01599200399800102,0.35556712429670295,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
0.0,0.20833333333333331,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.3333333333333333,0.00749625187406297,0.39265205042813334,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0
0.0,0.40277777777777773,0.5,0.5,0.5,0.5,0.0,0.5,0.5,0.5,0.5,0.6666666666666666,0.670664667666167,0.6995783202994458,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0
0.0,0.986111111111111,0.5,0.5,0.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.9735132433783109,0.9878213329312583,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0
0.0,0.1111111111111111,0.0,0.0,0.5,0.0,0.5,0.5,0.5,0.5,0.5,1.0,0.248375812093953,0.39073633031860977,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
0.0,0.375,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.018490754622688677,0.4613839287832723,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0
1.0,0.5555555555555556,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.3333333333333333,0.7941029485257373,0.8114097019025062,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0
0.0,0.9305555555555555,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.07596201899050478,0.629563751426676,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0
0.0,0.125,1.0,0.0,0.5,0.5,0.5,0.5,0.5,0.0,0.5,0.6666666666666666,0.2203898050974513,0.3990080148319132,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0
0.0,0.15277777777777776,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.0,0.3228385807096452,0.46100728138017416,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0
0.0,0.9027777777777777,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.8535732133933034,0.9302419259257,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0
0.0,0.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.06646676661669168,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0
0.0,0.1111111111111111,1.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.6666666666666666,0.11744127936031987,0.3464825001977837,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0
1.0,0.2222222222222222,0.5,0.5,0.5,0.0,0.5,0.5,0.0,0.5,0.5,0.3333333333333333,0.663168415792104,0.5952912052339373,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0
1.0,0.8472222222222222,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.6666666666666666,0.6341829085457272,0.8524130871672319,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0
1.0,0.40277777777777773,0.5,0.5,0.5,0.0,0.5,0.5,0.5,0.0,0.5,0.6666666666666666,0.6556721639180411,0.6927460676495567,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0
0.0,0.736111111111111,0.5,0.5,0.5,0.5,0.0,0.5,0.0,0.0,0.0,0.6666666666666666,0.8650674662668667,0.8836630277654541,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0
0.0,0.986111111111111,0.5,0.0,0.0,0.5,0.5,0.0,0.0,0.5,1.0,0.3333333333333333,0.5477261369315343,0.8738122367726817,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0
0.0,0.05555555555555555,0.0,0.5,0.5,0.0,0.5,0.5,0.5,0.5,0.5,0.6666666666666666,0.5177411294352824,0.3754576307553081,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0
